region,time,inversion_fraction,ridge_above_deck_fraction,mean_tcc_pct,mean_lcc_pct
east,2013-01-01 00:00:00,0.0,0.0,45.269012451171875,9.480620384216309
east,2013-01-01 01:00:00,0.0,0.0,52.77964782714844,7.854234218597412
east,2013-01-01 02:00:00,0.0,0.0,59.57513427734375,10.084359169006348
east,2013-01-01 03:00:00,0.0,0.0,51.47476577758789,8.557417869567871
east,2013-01-01 04:00:00,0.0,0.0,41.98655319213867,8.457959175109863
east,2013-01-01 05:00:00,0.0,0.0,39.59263610839844,8.610998153686523
east,2013-01-01 06:00:00,0.0,0.0,72.8067398071289,7.216073989868164
east,2013-01-01 07:00:00,0.0,0.0027100271002710027,94.47409057617188,10.325636863708496
east,2013-01-01 08:00:00,0.0,0.013098464317976514,96.89732360839844,4.928024768829346
east,2013-01-01 09:00:00,0.0,0.44715447154471544,95.72747039794922,2.9436378479003906
east,2013-01-01 10:00:00,0.017639134461564367,0.1892502258355917,96.02416229248047,19.77081298828125
east,2013-01-01 11:00:00,0.006819904016165698,0.07317073170731707,97.36366271972656,8.786859512329102
east,2013-01-01 12:00:00,0.006904100362044288,0.07407407407407407,94.32107543945312,5.742258548736572
east,2013-01-01 13:00:00,0.006988296707922876,0.07497741644083107,92.83995056152344,4.222951412200928
east,2013-01-01 14:00:00,0.001262945188178833,0.013550135501355014,96.82127380371094,10.47508430480957
east,2013-01-01 15:00:00,0.0010524543234823609,0.011291779584462511,99.30084228515625,11.562849998474121
east,2013-01-01 16:00:00,0.006777805843226404,0.07271906052393858,95.6309585571289,6.280180931091309
east,2013-01-01 17:00:00,0.008882714490191125,0.09530261969286359,98.13290405273438,23.357990264892578
east,2013-01-01 18:00:00,0.02845836490696304,0.3053297199638663,98.9635009765625,42.76583480834961
east,2013-01-01 19:00:00,0.06180011787488423,0.6630532971996387,99.45767211914062,53.037841796875
east,2013-01-01 20:00:00,0.07514523869664057,0.8062330623306233,99.80270385742188,64.60177612304688
east,2013-01-01 21:00:00,0.07304033004967585,0.7836495031616982,99.82594299316406,77.41482543945312
east,2013-01-01 22:00:00,0.05249642165530016,0.5632339656729901,99.45429229736328,86.26428985595703
east,2013-01-01 23:00:00,0.09114254441357245,0.9778681120144534,100.0,88.59329223632812
east,2013-01-02 00:00:00,0.09046897364654374,0.9706413730803974,99.89259338378906,89.94268035888672
east,2013-01-02 01:00:00,0.09320535488759787,1.0,99.92707824707031,93.80569458007812
east,2013-01-02 02:00:00,0.09320535488759787,1.0,99.94186401367188,95.48135375976562
east,2013-01-02 03:00:00,0.09320535488759787,1.0,99.67293548583984,94.08908081054688
east,2013-01-02 04:00:00,0.09320535488759787,1.0,98.98170471191406,90.27371978759766
east,2013-01-02 05:00:00,0.09320535488759787,1.0,98.93922424316406,87.07005310058594
east,2013-01-02 06:00:00,0.09320535488759787,1.0,98.65616607666016,84.81411743164062
east,2013-01-02 07:00:00,0.09320535488759787,1.0,97.75843811035156,85.59615325927734
east,2013-01-02 08:00:00,0.09320535488759787,1.0,94.6666259765625,79.46554565429688
east,2013-01-02 09:00:00,0.09320535488759787,1.0,90.3653793334961,72.16535949707031
east,2013-01-02 10:00:00,0.09320535488759787,1.0,91.55489349365234,63.059757232666016
east,2013-01-02 11:00:00,0.09320535488759787,1.0,83.44186401367188,55.89014434814453
east,2013-01-02 12:00:00,0.09320535488759787,1.0,64.01408386230469,57.94832992553711
east,2013-01-02 13:00:00,0.09160562431590469,0.982836495031617,59.098636627197266,56.10050582885742
east,2013-01-02 14:00:00,0.0,0.912375790424571,46.72576904296875,40.99944305419922
east,2013-01-02 15:00:00,0.0,0.975609756097561,34.20467758178711,27.544588088989258
east,2013-01-02 16:00:00,0.0,0.9787714543812105,29.960407257080078,26.50662612915039
east,2013-01-02 17:00:00,0.0,0.990063233965673,31.396644592285156,31.048908233642578
east,2013-01-02 18:00:00,0.0,0.994579945799458,34.1431770324707,34.141048431396484
